DAUID,target_priority
35202124,0.5523464432067022
35202125,0.6010836873552557
35202126,0.5243701920860216
35202127,0.5566754585318126
35202128,0.5541507718334509
35202129,0.5867495074180591
35202130,0.5654533735926284
35202131,0.6181297066926651
35202132,0.6889528191465714
35202133,0.5883010036627562
35202134,0.5700371593320311
35201211,0.655857831592865
35201212,0.6319188276060775
35202135,0.6404737527152405
35202136,0.6886106383545195
35202137,0.7007902221921871
35202138,0.6366747651895791
35202139,0.667033283637135
35202140,0.7411773459065477
35202141,0.7310753207619882
35202145,0.6434341114550084
35202147,0.6254495941922372
35202149,0.6231382338638163
35202150,0.5501233241579391
35202151,0.6004702829803564
35202152,0.7259982566363627
35202153,0.5300258774188321
35202154,0.6055897625877037
35202155,0.6023453283319951
35202156,0.5594760828061449
35202157,0.65475000518542
35202158,0.5329326155530698
35202159,0.7014985232583203
35202160,0.6024490713425543
35202161,0.6295572825886092
35202399,0.35323058439116334
35202406,0.5779982838270145
35202407,0.6054459292994205
35202408,0.5928402675528934
35202409,0.6305921200204604
35202413,0.35640240998893336
35202414,0.4140505328584558
35202415,0.4358389101911445
35201779,0.6624398274309583
35202443,0.49736354359711615
35202400,0.44227562362677986
35202401,0.49544501135899094
35202402,0.5075474542252473
35202403,0.4066859106126241
35202404,0.5715619090052154
35202405,0.5996595050858502
35201517,0.5694026595059543
35201518,0.5827227821045454
35201519,0.6137818359825834
35201520,0.6121040885746457
35201521,0.5371619740095831
35201522,0.5819136021499285
35201523,0.5551178278008378
35201213,0.6714715663551325
35201214,0.5331533135597674
35201215,0.7338254690746919
35202416,0.5186467486676545
35202417,0.42460886963687183
35202418,0.4712088087353036
35202419,0.4450616486956061
35202430,0.59687593997394
35202431,0.6409280067419031
35202433,0.6493413304635782
35202436,0.553071769156511
35202439,0.5273385761406316
35202440,0.5529005690582106
35202441,0.5348608663859817
35202442,0.49079016344924836
35201250,0.5442965916677174
35201251,0.619698154204703
35201252,0.5803473647088888
35201253,0.5173240031042162
35201254,0.5217852420430628
35201255,0.5124977712840593
35201256,0.48092423151661634
35202446,0.47332340634538633
35202447,0.47462417551430147
35202448,0.484538773219944
35202449,0.3888570064812906
35202450,0.41673729692285844
35202451,0.3899112594567109
35202452,0.4398985439150002
35202453,0.5104333895062305
35201287,0.5657435464284722
35201216,0.4391009576428127
35201217,0.6728210062818437
35201219,0.595519649443388
35201222,0.5630729887624971
35201228,0.6056793127161585
35201240,0.5659640105361287
35201241,0.5194481367455387
35201242,0.5074451942795577
35201243,0.49629241283288267
35201244,0.5550087735767089
35201249,0.5475042758355766
35201602,0.5084270045546448
35201257,0.4478395997199841
35201259,0.5722881565297555
35201263,0.5414641692025692
35201264,0.44342901198233414
35201267,0.4710167155612592
35201278,0.43329847424311135
35201279,0.4495182995462259
35201280,0.4841804112868996
35201281,0.4329998777271351
35201282,0.5063968080541682
35201283,0.4883122027522232
35201284,0.5267810189329106
35201285,0.6090024390375922
35201286,0.5925345813184507
35201288,0.5736510291488621
35201289,0.5624244711719357
35201290,0.5179493686846675
35201291,0.4417366332069165
35201292,0.45701786855196724
35201293,0.48627578363639384
35201294,0.4369840993328454
35201295,0.39209564542897835
35201297,0.41672479837344956
35201298,0.46691076967518796
35201312,0.2900659034210619
35201313,0.34336455932284343
35201314,0.29272262566811863
35201315,0.288416283487468
35201316,0.41066427138847994
